UII,HEI_Name,HEI_Type,HEI_Type2,HEI_Province,HEI_Municipality_City,HEI_Region,Full_Program_Name,Program_Name,Major,Detailed_Name,F2017PSCED_Discipline_Group,AY
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Elementary Education,Bachelor of Elementary Education,,Elementary Education,Education,2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Accounting Technology,Bachelor of Science in Accounting Technology,,Accountancy,"Business, Administration, and Law",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Business Administration,Bachelor of Science in Business Administration,,Business Administration,"Business, Administration, and Law",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Business Administration major in Business Economics,Bachelor of Science in Business Administration,Business Economics,Business Administration,"Business, Administration, and Law",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Business Administration major in Financial Management,Bachelor of Science in Business Administration,Financial Management,Business Administration,"Business, Administration, and Law",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Business Administration major in Human Resource Management,Bachelor of Science in Business Administration,Human Resource Management,Business Administration,"Business, Administration, and Law",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Business Administration major in Marketing Management,Bachelor of Science in Business Administration,Marketing Management,Business Administration,"Business, Administration, and Law",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Business Administration major in Operation Management,Bachelor of Science in Business Administration,Operation Management,Business Administration,"Business, Administration, and Law",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Criminology,Bachelor of Science in Criminology,,Criminology,"Social Sciences, Journalism and Information",2024-25
03196,Academia de San Lorenzo Dema Ala,Private,Private Non-Sectarian,Bulacan,San Jose Del Monte City,03 - Central Luzon,Bachelor of Science in Information System,Bachelor of Science in Information System,,Information Systems,Information and Communication Technologies (ICTs),2024-25
